cid,original_name,normalized_name,surname_key,initial_key,parse_method,ambiguous_group
197,"Piccirillo, Alice Maria",Alice Maria Piccirillo,PICCIRILLO,A,comma,no
198,"Della Corte, Vincenzo",Vincenzo Della Corte,DELLA CORTE,V,comma,no
199,"Alcaras, Emanuele",Emanuele Alcaras,ALCARAS,E,comma,no
200,"Appolloni, Luca",Luca Appolloni,APPOLLONI,L,comma,no
201,"Aulicino, Giuseppe",Giuseppe Aulicino,AULICINO,G,comma,no
202,"Bertini, Ivano",Ivano Bertini,BERTINI,I,comma,no
203,"Capozzi, Vincenzo",Vincenzo Capozzi,CAPOZZI,V,comma,no
204,"Catucci, Elena",Elena Catucci,CATUCCI,E,comma,no
205,"Dionnet, Zelia",Zelia Dionnet,DIONNET,Z,comma,no
206,"Di Palma, Pasquale",Pasquale Di Palma,DI PALMA,P,comma,no
207,"Esposito, Flavio",Flavio Esposito,ESPOSITO,F,comma,no
208,"Ferrentino, Emanuele",Emanuele Ferrentino,FERRENTINO,E,comma,no
209,"Inno, Laura",Laura Inno,INNO,L,comma,no
210,"Saviano, Simona",Simona Saviano,SAVIANO,S,comma,no
211,"Tirimberio, Giuseppina",Giuseppina Tirimberio,TIRIMBERIO,G,comma,no
212,"Campopiano, Stefania",Stefania Campopiano,CAMPOPIANO,S,comma,no
213,"Chianese, Elena",Elena Chianese,CHIANESE,E,comma,no
214,"Franzese, Pier Paolo",Pier Paolo Franzese,FRANZESE,P,comma,no
215,"Fusco, Giannetta",Giannetta Fusco,FUSCO,G,comma,no
216,"Iadicicco, Agostino",Agostino Iadicicco,IADICICCO,A,comma,no
217,"Nunziata, Ferdinando",Ferdinando Nunziata,NUNZIATA,F,comma,no
218,"Parente, Claudio",Claudio Parente,PARENTE,C,comma,no
219,"Riccio, Angelo",Angelo Riccio,RICCIO,A,comma,no
220,"Russo, Giovanni Fulvio",Giovanni Fulvio Russo,RUSSO,G,comma,no
221,"Zambianchi, Enrico",Enrico Zambianchi,ZAMBIANCHI,E,comma,no
222,"Rossi, Giovanni Battista",Giovanni Battista Rossi,ROSSI,G,comma,no
223,"Cannata, Andrea",Andrea Cannata,CANNATA,A,comma,no
224,"Iengo, Antonio",Antonio Iengo,IENGO,A,comma,no
225,"Migliaccio, Maurizio",Maurizio Migliaccio,MIGLIACCIO,M,comma,no
226,"Nardone, Gabriele",Gabriele Nardone,NARDONE,G,comma,no
227,"Crenna, Francesco",Francesco Crenna,CRENNA,F,comma,no
228,"Berardengo, Marta",Marta Berardengo,BERARDENGO,M,comma,no
229,"Mocerino, Luigia",Luigia Mocerino,MOCERINO,L,comma,no
230,"D’Amato, Egidio",Egidio D’Amato,DAMATO,E,comma,no
231,"Notaro, Immacolata",Immacolata Notaro,NOTARO,I,comma,no
232,"Baiocchi, Valerio",Valerio Baiocchi,BAIOCCHI,V,comma,no
233,"Monti, Felicia",Felicia Monti,MONTI,F,comma,no
234,"Pugliano, Giovanni",Giovanni Pugliano,PUGLIANO,G,comma,no
235,"Onori, Matteo",Matteo Onori,ONORI,M,comma,no
236,"Vatore, Felicia",Felicia Vatore,VATORE,F,comma,no
237,"Trujillo, Francisco James León",Francisco James León Trujillo,TRUJILLO,F,comma,no
238,"Russo, Francesca",Francesca Russo,RUSSO,F,comma,no
239,"Di Ciaccio, Fabiana",Fabiana Di Ciaccio,DI CIACCIO,F,comma,no
240,"Portelli, Gabriele",Gabriele Portelli,PORTELLI,G,comma,no
241,"Susi, Melania",Melania Susi,SUSI,M,comma,no
242,"Mattei, Gaia",Gaia Mattei,MATTEI,G,comma,no
243,"Amato, Lucio",Lucio Amato,AMATO,L,comma,no
244,"Caporizzo, Claudia",Claudia Caporizzo,CAPORIZZO,C,comma,no
245,"Cinque, Aldo",Aldo Cinque,CINQUE,A,comma,no
246,"Pappone, Gerardo",Gerardo Pappone,PAPPONE,G,comma,no
247,"Sorrentino, Alessia",Alessia Sorrentino,SORRENTINO,A,comma,no
248,"Stocchi, Paolo",Paolo Stocchi,STOCCHI,P,comma,no
249,"Aucelli, Pietro PC",Pietro PC Aucelli,AUCELLI,P,comma,yes
250,"Bagheri, Milad",Milad Bagheri,BAGHERI,M,comma,no
251,"Dabove, Paolo",Paolo Dabove,DABOVE,P,comma,no
252,"Nocerino, Erica",Erica Nocerino,NOCERINO,E,comma,no
253,"Calantropio, Alessio",Alessio Calantropio,CALANTROPIO,A,comma,no
254,"Menna, Fabio",Fabio Menna,MENNA,F,comma,no
255,"Ferrigno, Luigi",Luigi Ferrigno,FERRIGNO,L,comma,no
256,"Miele, Gianfranco",Gianfranco Miele,MIELE,G,comma,no
257,"Velusamy, Keerthana",Keerthana Velusamy,VELUSAMY,K,comma,no
258,"Sciacca, Andrea",Andrea Sciacca,SCIACCA,A,comma,no
259,"Galassi, F.M.",F.M. Galassi,GALASSI,F,comma,no
260,"Papa, V.",V. Papa,PAPA,V,comma,no
261,"Varotto, E.",E. Varotto,VAROTTO,E,comma,no
262,"Amoroso, Pier Paolo",Pier Paolo Amoroso,AMOROSO,P,comma,no
263,"Contestabile, Pasquale",Pasquale Contestabile,CONTESTABILE,P,comma,no
264,"Cotroneo, Yuri",Yuri Cotroneo,COTRONEO,Y,comma,no
265,"Figliomeni, Francesco Giuseppe",Francesco Giuseppe Figliomeni,FIGLIOMENI,F,comma,no
266,"Vicinanza, Diego",Diego Vicinanza,VICINANZA,D,comma,no
267,"Budillon, Giorgio",Giorgio Budillon,BUDILLON,G,comma,no
268,"Ariante, Gennaro",Gennaro Ariante,ARIANTE,G,comma,no
269,"Rocquelain, Lucie",Lucie Rocquelain,ROCQUELAIN,L,comma,no
270,"Core, Giuseppe Del",Giuseppe Del Core,CORE,G,comma,no
271,"Piccolo, Andrea",Andrea Piccolo,PICCOLO,A,comma,no
