publication_id,year,date,title,authors,pang_faculty_authors,document_type,source_title,tertiary_title,publisher,place_published,volume,issue,pages,doi,doi_normalized,issn,isbn,url,abstract,language,source,legacy_nid,legacy_status,include_in_master,data_quality_flags,scopus_eid,verification_status,verification_source_url
drupal-201,2020,,"Ancient coastal changes due to ground movements and human interventions in the roman portus julius (Pozzuoli Gulf, Italy): Results from photogrammetric and direct surveys",Pietro PC Aucelli; Gaia Mattei; Claudia Caporizzo; Aldo Cinque; Salvatore Troisi; F. Peluso; M. Stefanile; Gerardo Pappone,Salvatore Troisi,Journal Article,Water (Switzerland),,,,12,,,10.3390/w12030658,10.3390/w12030658,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082705897&doi=10.3390%2fw12030658&partnerID=40&md5=d9bf0d02274de8fc28558d919b54f019,,eng,drupal,201,1,yes,"ambiguous_author:Aucelli, P.P.C.",,legacy_drupal_historical,
drupal-221,2020,,Assessment of shoreline detection using UAV,Silvio Del Pizzo; Antonio Angrisano; Salvatore Gaglione; Salvatore Troisi,Silvio Del Pizzo; Salvatore Gaglione; Salvatore Troisi,Conference Paper,MetroSea 2020 - TC19 International Workshop on Metrology for the Sea,,,,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123306702&partnerID=40&md5=a1327b0f2f73c11a700c7c1e82af4feb,,eng,drupal,221,1,yes,"ambiguous_author:Pizzo, S.D.; missing_doi",,legacy_drupal_historical,
drupal-167,2020,2020,Development of a new ship adaptive weather routing model based on seakeeping analysis and optimization,Silvia Pennino; Salvatore Gaglione; Anna Innac; Vincenzo Piscopo; Antonio Scamardella,Silvia Pennino; Salvatore Gaglione; Vincenzo Piscopo; Antonio Scamardella,Journal Article,Journal of Marine Science and Engineering,,,,8,4,,,,,20771312 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084633120&doi=10.3390%2fJMSE8040270&partnerID=40&md5=73cbf2170e262702db1ad7f10416663a,,eng,drupal,167,1,yes,missing_doi,,legacy_drupal_historical,
drupal-163,2020,,GPS precise positioning techniques for remote marine applications,Anna Innac; Antonio Angrisano; Salvatore Gaglione; N. Crocetto,Salvatore Gaglione,Conference Paper,"2019 IMEKO TC19 International Workshop on Metrology for the Sea: Learning to Measure Sea Health Parameters, MetroSea 2019",,,,,,,,,,9789299008423,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081056598&partnerID=40&md5=e70d4becb4ed1549b1a700a1708cab1d,,eng,drupal,163,1,yes,missing_doi,,legacy_drupal_historical,
drupal-165,2020,,Identification of Walker Identity Using Smartphone Sensors: An Experiment Using Ensemble Learning,Antonio Angrisano; M.L. Bernardi; M. Cimitile; Salvatore Gaglione; Mario Vultaggio,Salvatore Gaglione,Journal Article,IEEE Access,,,,8,,27435-27447,10.1109/ACCESS.2020.2971693,10.1109/ACCESS.2020.2971693,21693536,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081113005&doi=10.1109%2fACCESS.2020.2971693&partnerID=40&md5=6df7e32b9ef02594f961428d88e5abc3,,eng,drupal,165,1,yes,,,legacy_drupal_historical,
drupal-202,2020,,Innovative Technologies for Coastal Paleo-Landscape Reconstruction and Paleo-Sea Level Measuring,Gaia Mattei; Pietro PC Aucelli; Claudia Caporizzo; F. Peluso; Gerardo Pappone; Salvatore Troisi,Salvatore Troisi,Journal Article,Communications in Computer and Information Science,,,,1246,,244-255,10.1007/978-3-030-62800-0_19,10.1007/978-3-030-62800-0_19,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097429704&doi=10.1007%2f978-3-030-62800-0_19&partnerID=40&md5=7f1c19ead6e5a2f361a9b5e9b2f99b6f,,eng,drupal,202,1,yes,"ambiguous_author:Aucelli, P.P.C.",,legacy_drupal_historical,
drupal-198,2020,,Integrated geomatic techniques for georeferencing and reconstructing the position of underground archaeological sites: The case study of the augustus sundial (rome),Valerio Baiocchi; R. Brigante; Silvio Del Pizzo; F. Giannone; Matteo Onori; F. Radicioni; A. Stoppini; G. Tosi; Salvatore Troisi; M. Baumgartner,Silvio Del Pizzo; Salvatore Troisi,Journal Article,Remote Sensing,,,,12,,1-17,10.3390/rs12244064,10.3390/rs12244064,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098263076&doi=10.3390%2frs12244064&partnerID=40&md5=72ed63037764b198293a3607405fc641,,eng,drupal,198,1,yes,,,legacy_drupal_historical,
drupal-169,2020,2020/05/11,Machine learning based LOS/NLOS classifier and robust estimator for GNSS shadow matching,Haosheng Xu; Antonio Angrisano; Salvatore Gaglione; Li-Ta Hsu,Salvatore Gaglione,Journal Article,,,,,1,1,15,,,,2662-1363,https://doi.org/10.1186/s43020-020-00016-w,"Global Navigation Satellites Systems (GNSS) is frequently used for positioning services in various applications, e.g., pedestrian and vehicular navigation. However, it is well-known that GNSS positioning performs unreliably in urban environments. GNSS shadow matching is a method of improving accuracy in the cross-street direction. Initial position and classification of observed satellite visibility between line-of-sight (LOS) and non-line-of-sight (NLOS) are essential for its performance. For the conventional LOS/NLOS classification, the classifiers are based on a single feature, extracted from raw GNSS measurements, such as signal noise ratio, pseudorange, elevation angle, etc. Especially in urban canyons, these measurements are unstable and unreliable due to the signal reflection and refraction from the surrounding buildings. Besides, the conventional least square approach for positioning is insufficient to provide accurate initialization for shadow matching in urban areas. In our study, shadow matching is improved using the initial position from robust estimator and the satellite visibility determined by support vector machine (SVM). The robust estimator has an improved positioning accuracy and the classification rate of SVM classification can reach 91.5% in urban scenarios. An important issue is related to satellites with ultra-high or low elevation angles and satellites near the building boundary that are very likely to be misclassified. By solving this problem, the SVM classification shows the potential of about 90% classification accuracy for various urban cases. With the help of these approaches, the shadow matching has a mean error of 10.27 m with 1.44 m in the cross-street direction; these performances are suitable for urban positioning.",eng,drupal,169,1,yes,missing_doi,,legacy_drupal_historical,
drupal-159,2020,,"PANG-NAV: a tool for processing GNSS measurements in SPP, including RAIM functionality",Antonio Angrisano; Salvatore Gaglione; N. Crocetto; Mario Vultaggio,Salvatore Gaglione,Journal Article,GPS Solutions,,,,24,,,10.1007/s10291-019-0935-y,10.1007/s10291-019-0935-y,10805370,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075862495&doi=10.1007%2fs10291-019-0935-y&partnerID=40&md5=5384d59813e59778298757bc15fbfe3b,,eng,drupal,159,1,yes,,,legacy_drupal_historical,
drupal-170,2020,,Performance assessment of PPP surveys with open source software using the GNSS GPS-GLONASS-Galileo constellations,Antonio Angrisano; G. Dardanelli; Anna Innac; A. Pisciotta; C. Pipitone; Salvatore Gaglione,Salvatore Gaglione,Journal Article,Applied Sciences (Switzerland),,,,10,,,10.3390/APP10165420,10.3390/APP10165420,20763417,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089897851&doi=10.3390%2fAPP10165420&partnerID=40&md5=840e9e4b552a1db3893cbd9690964200,,eng,drupal,170,1,yes,,,legacy_drupal_historical,
